country,year,iso_code,region,population,gdp,co2,co2_per_capita,co2_per_gdp,coal_co2,oil_co2,gas_co2,cement_co2,flaring_co2,other_co2
Africa,1968,OWID_AFR,Africa,172713227,196323385520,55.809999999999995,0.32,284.2759,31.66,15.24,5.58,1.9,0.96,0.47
Africa,1969,OWID_AFR,Africa,177060654,204627057076,60.940000000000005,0.34,297.8101,34.21,16.74,6.32,2.09,1.05,0.53
Africa,1970,OWID_AFR,Africa,184418101,217343206205,68.06,0.37,313.1453,38.27,18.669999999999998,7.04,2.33,1.17,0.58
Africa,1971,OWID_AFR,Africa,187069460,233825739687,79.28999999999999,0.42,339.0987,44.61,21.74,8.17,2.71,1.37,0.68
Africa,1972,OWID_AFR,Africa,193242015,253723841950,89.17,0.46,351.4451,50.160000000000004,24.470000000000002,9.2,3.06,1.54,0.77
Africa,1973,OWID_AFR,Africa,198145604,275594568764,97.7,0.49,354.5063,55.16,26.75,9.940000000000001,3.34,1.67,0.8400000000000001
Africa,1974,OWID_AFR,Africa,203078840,286621738873,118.43,0.58,413.1927,66.37,32.55,12.389999999999999,4.07,2.0300000000000002,1.01
Africa,1975,OWID_AFR,Africa,207316399,298359467809,131.49,0.63,440.71,74.11999999999999,36.03,13.469999999999999,4.5,2.25,1.13
Africa,1976,OWID_AFR,Africa,213878759,316802989539,149.53,0.7,471.9968,84.19999999999999,41.0,15.36,5.13,2.56,1.28
Africa,1977,OWID_AFR,Africa,218122277,343337891096,166.0,0.76,483.4887,94.04,45.349999999999994,16.689999999999998,5.67,2.83,1.42
Africa,1978,OWID_AFR,Africa,220978756,348882209573,172.1,0.78,493.2897,96.72999999999999,47.239999999999995,17.8,5.9,2.96,1.48
Africa,1979,OWID_AFR,Africa,228178226,365153281805,202.36,0.89,554.1782,113.86,55.5,20.85,6.9399999999999995,3.47,1.74
Africa,1980,OWID_AFR,Africa,228607165,398789355216,222.69,0.97,558.4151,123.82,61.49,23.93,7.680000000000001,3.85,1.93
Africa,1981,OWID_AFR,Africa,234840236,410237744771,243.4,1.04,593.3145,137.09,66.72,24.99,8.34,4.17,2.08
Africa,1982,OWID_AFR,Africa,240749379,412212052003,274.23,1.14,665.2644,151.99,75.86,29.78,9.48,4.74,2.37
Africa,1983,OWID_AFR,Africa,242698620,442761298709,300.71,1.24,679.1696,169.73,82.33,30.64,10.290000000000001,5.14,2.57
Africa,1984,OWID_AFR,Africa,251892178,448615659265,323.48,1.28,721.0627,181.17,88.96,33.88,11.120000000000001,5.56,2.78
Africa,1985,OWID_AFR,Africa,256077103,470895268495,355.43,1.39,754.7963,199.77,97.54,36.769999999999996,12.2,6.09,3.0500000000000003
Africa,1986,OWID_AFR,Africa,260020917,501959585448,375.87,1.45,748.8053,211.28,103.16,38.879999999999995,12.89,6.45,3.23
Africa,1987,OWID_AFR,Africa,260611474,513391538116,421.78,1.62,821.5562,234.46,116.49,45.339999999999996,14.56,7.2700000000000005,3.64
Africa,1988,OWID_AFR,Africa,268868070,543433573924,449.73,1.67,827.5712,249.04000000000002,124.47,48.98,15.56,7.7700000000000005,3.9
Africa,1989,OWID_AFR,Africa,269840506,560759580077,457.02000000000004,1.69,815.0017,252.56,126.64,50.11,15.84,7.92,3.95
Africa,1990,OWID_AFR,Africa,275277418,561910024100,465.42,1.69,828.2821,257.58,128.87,50.8,16.099999999999998,8.059999999999999,4.029999999999999
Africa,1991,OWID_AFR,Africa,281933926,611069303792,501.24,1.78,820.267,276.73,138.97,55.129999999999995,17.37,8.69,4.34
Africa,1992,OWID_AFR,Africa,282617553,623791773814,517.24,1.83,829.187,282.59999999999997,144.24,58.85,18.03,9.01,4.51
Africa,1993,OWID_AFR,Africa,282781666,647837130721,577.62,2.04,891.613,315.8,161.01999999999998,65.58,20.119999999999997,10.06,5.03
Africa,1994,OWID_AFR,Africa,290482580,654740344189,583.15,2.01,890.6584,320.90999999999997,161.98,64.84,20.25,10.11,5.0600000000000005
Africa,1995,OWID_AFR,Africa,297200722,690243351277,613.63,2.06,889.0053,336.27,170.84,69.17,21.35,10.67,5.35
Africa,1996,OWID_AFR,Africa,298776339,704039777772,650.56,2.18,924.0387,359.59,180.25,71.28999999999999,22.53,11.26,5.63
Africa,1997,OWID_AFR,Africa,302072977,724996170165,658.71,2.18,908.5703,364.65,182.35,71.82000000000001,22.79,11.4,5.7
Africa,1998,OWID_AFR,Africa,305026698,740572982347,646.81,2.12,873.3913,352.01,180.76000000000002,74.5,22.59,11.29,5.66
Africa,1999,OWID_AFR,Africa,312113322,793664879992,653.99,2.1,824.0128,359.74,181.69,72.81,22.71,11.35,5.68
Africa,2000,OWID_AFR,Africa,310036919,798887935484,694.35,2.24,869.1457,378.5,193.87,79.57,24.24,12.11,6.06
Africa,2001,OWID_AFR,Africa,317013057,838940481343,691.11,2.18,823.7891,377.94,192.62,78.4,24.08,12.05,6.02
Africa,2002,OWID_AFR,Africa,320365682,871655603707,731.19,2.28,838.8519,401.9,203.23000000000002,81.61999999999999,25.4,12.7,6.35
Africa,2003,OWID_AFR,Africa,326041788,889480081155,717.46,2.2,806.606,393.72,199.57999999999998,80.49000000000001,24.95,12.469999999999999,6.24
Africa,2004,OWID_AFR,Africa,329601740,888239269437,758.54,2.3,853.9816,412.09000000000003,212.19,87.85,26.53,13.26,6.63
Africa,2005,OWID_AFR,Africa,327991881,921058204680,751.5600000000001,2.29,815.9745,414.65,208.45,82.87,26.05,13.03,6.51
Africa,2006,OWID_AFR,Africa,333594158,933215272793,778.74,2.33,834.4698,425.78000000000003,217.07,88.39,27.13,13.57,6.79
Africa,2007,OWID_AFR,Africa,340549569,948047066647,751.25,2.21,792.4185,405.26,210.95000000000002,88.9,26.37,13.190000000000001,6.6
Africa,2008,OWID_AFR,Africa,338677153,994338593389,794.02,2.34,798.5409,432.12,221.9,91.47,27.740000000000002,13.870000000000001,6.93
Africa,2009,OWID_AFR,Africa,343842520,1031921590507,758.76,2.21,735.2884,414.31,211.66,86.48,26.45,13.23,6.62
Africa,2010,OWID_AFR,Africa,351319945,1049568370257,763.5,2.17,727.4419,414.57000000000005,213.64,88.56,26.7,13.350000000000001,6.67
Africa,2011,OWID_AFR,Africa,349842245,1077813987558,747.5,2.14,693.5334,404.8,209.46,87.42,26.18,13.09,6.55
Africa,2012,OWID_AFR,Africa,355011865,1123480478548,768.16,2.16,683.7324,420.4,214.01,86.93,26.740000000000002,13.379999999999999,6.6899999999999995
Africa,2013,OWID_AFR,Africa,361266794,1098174467385,764.63,2.12,696.2737,417.28999999999996,213.35,87.31,26.67,13.33,6.67
Africa,2014,OWID_AFR,Africa,360544495,1142514759426,754.4200000000001,2.09,660.3153,411.88,210.47,86.03999999999999,26.310000000000002,13.15,6.58
Africa,2015,OWID_AFR,Africa,366616816,1181515647362,820.1800000000001,2.24,694.1762,445.57,229.43,94.99,28.68,14.34,7.17
Africa,2016,OWID_AFR,Africa,371090154,1210600359223,793.49,2.14,655.4516,436.36,220.47,88.43,27.560000000000002,13.780000000000001,6.890000000000001
Africa,2017,OWID_AFR,Africa,374955675,1231457291295,785.66,2.1,637.9921,425.02000000000004,220.27,92.17,27.53,13.780000000000001,6.890000000000001
Africa,2018,OWID_AFR,Africa,381565575,1248493722051,772.76,2.03,618.9539,416.91999999999996,216.98000000000002,91.41,27.130000000000003,13.56,6.78
Africa,2019,OWID_AFR,Africa,384661571,1263616489714,821.82,2.14,650.3714,449.6,229.02,93.13,28.62,14.32,7.16
Africa,2020,OWID_AFR,Africa,386652268,1292140832960,763.94,1.98,591.2204,413.03999999999996,214.25,89.77000000000001,26.78,13.39,6.7
Africa,2021,OWID_AFR,Africa,386328168,1313335554093,812.05,2.1,618.3111,447.4,225.39,89.95,28.18,14.09,7.04
Africa,2022,OWID_AFR,Africa,385843362,1374734166737,795.4399999999999,2.06,578.6137,435.87,221.46,89.67,27.68,13.84,6.91
Africa,2023,OWID_AFR,Africa,389766014,1383749479203,780.67,2.0,564.17,425.12,218.1,89.74000000000001,27.26,13.629999999999999,6.8100000000000005
Argentina,1950,ARG,South America,9289170,12095203371,1.18,0.13,97.946,0.47,0.38,0.25,0.05,0.02,0.01
Argentina,1951,ARG,South America,11163260,14330739336,1.23,0.11,86.0167,0.49,0.39,0.26,0.05,0.02,0.01
Argentina,1952,ARG,South America,12195084,15179906424,1.45,0.12,95.5809,0.58,0.46,0.3,0.06,0.03,0.01
Argentina,1953,ARG,South America,13075644,17279681217,1.81,0.14,104.4845,0.72,0.58,0.38,0.07,0.04,0.02
Argentina,1954,ARG,South America,14332375,20212813574,1.93,0.13,95.5251,0.77,0.62,0.41,0.08,0.04,0.02
Argentina,1955,ARG,South America,14985740,25020008876,2.41,0.16,96.4519,0.97,0.77,0.51,0.1,0.05,0.02
Argentina,1956,ARG,South America,15605313,27595006165,2.77,0.18,100.3708,1.11,0.89,0.58,0.11,0.06,0.03
Argentina,1957,ARG,South America,16255182,30990817502,2.88,0.18,92.893,1.15,0.92,0.6,0.12,0.06,0.03
Argentina,1958,ARG,South America,17262683,36907758408,3.19,0.18,86.4495,1.28,1.02,0.67,0.13,0.06,0.03
Argentina,1959,ARG,South America,17600504,39591937483,4.02,0.23,101.4927,1.61,1.29,0.84,0.16,0.08,0.04
Argentina,1960,ARG,South America,18198758,43961100992,4.44,0.24,101.0473,1.78,1.42,0.93,0.18,0.09,0.04
Argentina,1961,ARG,South America,19101243,48173035496,4.83,0.25,100.3274,1.93,1.55,1.01,0.19,0.1,0.05
Argentina,1962,ARG,South America,19533375,54112655411,6.03,0.31,111.3568,2.41,1.93,1.27,0.24,0.12,0.06
Argentina,1963,ARG,South America,20408588,59055347725,6.25,0.31,105.9083,2.5,2.0,1.31,0.25,0.13,0.06
Argentina,1964,ARG,South America,20575792,66910815509,8.04,0.39,120.1986,3.22,2.57,1.69,0.32,0.16,0.08
Argentina,1965,ARG,South America,21606884,70030161131,8.29,0.38,118.3146,3.31,2.65,1.74,0.33,0.17,0.08
Argentina,1966,ARG,South America,21849952,78120491163,9.43,0.43,120.7372,3.77,3.02,1.98,0.38,0.19,0.09
Argentina,1967,ARG,South America,22145937,80065357352,10.82,0.49,135.145,4.33,3.46,2.27,0.43,0.22,0.11
Argentina,1968,ARG,South America,22799216,87279750145,13.73,0.6,157.2744,5.49,4.39,2.88,0.55,0.27,0.14
Argentina,1969,ARG,South America,24093232,95705990940,15.05,0.62,157.2312,6.02,4.82,3.16,0.6,0.3,0.15
Argentina,1970,ARG,South America,24567688,107829741860,17.32,0.71,160.648,6.93,5.54,3.64,0.69,0.35,0.17
Argentina,1971,ARG,South America,24469922,108847662973,18.55,0.76,170.4573,7.42,5.94,3.9,0.74,0.37,0.19
Argentina,1972,ARG,South America,25528761,119175049141,20.79,0.81,174.4465,8.32,6.65,4.37,0.83,0.42,0.21
Argentina,1973,ARG,South America,25866673,121416004005,23.11,0.89,190.3193,9.24,7.39,4.85,0.92,0.46,0.23
Argentina,1974,ARG,South America,26749993,126918851620,26.93,1.01,212.2189,10.77,8.62,5.66,1.08,0.54,0.27
Argentina,1975,ARG,South America,26614595,133210348190,30.53,1.15,229.2179,12.21,9.77,6.41,1.22,0.61,0.31
Argentina,1976,ARG,South America,27436041,144180366650,34.56,1.26,239.6681,13.82,11.06,7.26,1.38,0.69,0.35
Argentina,1977,ARG,South America,27237252,149567831180,36.57,1.34,244.5157,14.63,11.7,7.68,1.46,0.73,0.37
Argentina,1978,ARG,South America,28081751,157535441708,44.75,1.59,284.0465,17.9,14.32,9.4,1.79,0.89,0.45
Argentina,1979,ARG,South America,29203172,175420045179,44.5,1.52,253.6621,17.8,14.24,9.34,1.78,0.89,0.44
Argentina,1980,ARG,South America,29184277,170544103177,54.86,1.88,321.6604,21.94,17.55,11.52,2.19,1.1,0.55
Argentina,1981,ARG,South America,29350623,188704041079,52.77,1.8,279.6559,21.11,16.89,11.08,2.11,1.06,0.53
Argentina,1982,ARG,South America,29603686,193789659946,61.81,2.09,318.9759,24.73,19.78,12.98,2.47,1.24,0.62
Argentina,1983,ARG,South America,30762907,204957314336,65.97,2.14,321.8612,26.39,21.11,13.85,2.64,1.32,0.66
Argentina,1984,ARG,South America,31143997,214966809849,72.75,2.34,338.4145,29.1,23.28,15.28,2.91,1.45,0.73
Argentina,1985,ARG,South America,31252336,218402828925,79.89,2.56,365.7888,31.96,25.56,16.78,3.2,1.6,0.8
Argentina,1986,ARG,South America,32427612,226871204409,84.23,2.6,371.2834,33.69,26.95,17.69,3.37,1.68,0.84
Argentina,1987,ARG,South America,31674564,246424341864,89.81,2.84,364.4515,35.92,28.74,18.86,3.59,1.8,0.9
Argentina,1988,ARG,South America,32469900,259402276380,99.88,3.08,385.046,39.95,31.96,20.98,4.0,2.0,1.0
Argentina,1989,ARG,South America,33717019,251572411276,105.12,3.12,417.8626,42.05,33.64,22.08,4.2,2.1,1.05
Argentina,1990,ARG,South America,33346357,258280285445,113.06,3.39,437.7496,45.22,36.18,23.74,4.52,2.26,1.13
Argentina,1991,ARG,South America,33675058,289876150113,109.41,3.25,377.4484,43.77,35.01,22.98,4.38,2.19,1.09
Argentina,1992,ARG,South America,34481336,284250589492,120.32,3.49,423.2785,48.13,38.5,25.27,4.81,2.41,1.2
Argentina,1993,ARG,South America,35304707,300027658293,124.82,3.54,416.0175,49.93,39.94,26.21,4.99,2.5,1.25
Argentina,1994,ARG,South America,34709583,304191873978,125.56,3.62,412.7813,50.23,40.18,26.37,5.02,2.51,1.26
Argentina,1995,ARG,South America,36315124,306744885298,131.88,3.63,429.9437,52.75,42.2,27.7,5.28,2.64,1.32
Argentina,1996,ARG,South America,36519397,331865222990,132.52,3.63,399.328,53.01,42.41,27.83,5.3,2.65,1.33
Argentina,1997,ARG,South America,36035924,340149438696,132.68,3.68,390.0688,53.07,42.46,27.86,5.31,2.65,1.33
Argentina,1998,ARG,South America,37219625,339388282908,137.26,3.69,404.442,54.91,43.92,28.83,5.49,2.75,1.37
Argentina,1999,ARG,South America,37137764,358632611363,137.94,3.71,384.6185,55.17,44.14,28.97,5.52,2.76,1.38
Argentina,2000,ARG,South America,37562416,382084635979,152.53,4.06,399.2164,61.01,48.81,32.03,6.1,3.05,1.53
Argentina,2001,ARG,South America,38539565,385325412015,154.58,4.01,401.1625,61.83,49.46,32.46,6.18,3.09,1.55
Argentina,2002,ARG,South America,39216110,376952636635,163.05,4.16,432.5597,65.22,52.18,34.24,6.52,3.26,1.63
Argentina,2003,ARG,South America,38315825,405742525616,160.34,4.18,395.1853,64.14,51.31,33.67,6.41,3.21,1.6
Argentina,2004,ARG,South America,39163088,423338262167,147.25,3.76,347.8343,58.9,47.12,30.92,5.89,2.95,1.47
Argentina,2005,ARG,South America,39646524,438625934052,167.2,4.22,381.1908,66.88,53.5,35.11,6.69,3.34,1.67
Argentina,2006,ARG,South America,39865392,443129675908,168.18,4.22,379.5167,67.27,53.82,35.32,6.73,3.36,1.68
Argentina,2007,ARG,South America,40227026,433318779893,159.99,3.98,369.2275,64.0,51.2,33.6,6.4,3.2,1.6
Argentina,2008,ARG,South America,40099872,470119650241,164.31,4.1,349.4968,65.72,52.58,34.5,6.57,3.29,1.64
Argentina,2009,ARG,South America,41517758,480445088613,174.19,4.2,362.5611,69.68,55.74,36.58,6.97,3.48,1.74
Argentina,2010,ARG,South America,41484630,460794740006,164.89,3.97,357.8311,65.95,52.76,34.63,6.6,3.3,1.65
Argentina,2011,ARG,South America,41455348,491257077082,174.24,4.2,354.6757,69.69,55.76,36.59,6.97,3.48,1.74
Argentina,2012,ARG,South America,42878074,499077793078,155.86,3.64,312.3052,62.35,49.88,32.73,6.23,3.12,1.56
Argentina,2013,ARG,South America,43233067,528380736840,158.91,3.68,300.7487,63.56,50.85,33.37,6.36,3.18,1.59
Argentina,2014,ARG,South America,43064165,516603234322,165.21,3.84,319.7976,66.08,52.87,34.69,6.61,3.3,1.65
Argentina,2015,ARG,South America,43107049,548851567529,169.01,3.92,307.9276,67.6,54.08,35.49,6.76,3.38,1.69
Argentina,2016,ARG,South America,44067561,579199227756,174.82,3.97,301.8234,69.93,55.94,36.71,6.99,3.5,1.75
Argentina,2017,ARG,South America,43817414,585550269123,179.2,4.09,306.0413,71.68,57.34,37.63,7.17,3.58,1.79
Argentina,2018,ARG,South America,44086162,605601641368,165.41,3.75,273.1369,66.16,52.93,34.74,6.62,3.31,1.65
Argentina,2019,ARG,South America,45334021,622104785455,157.62,3.48,253.3617,63.05,50.44,33.1,6.3,3.15,1.58
Argentina,2020,ARG,South America,44448837,576701723616,175.61,3.95,304.5002,70.24,56.19,36.88,7.02,3.51,1.76
Argentina,2021,ARG,South America,44901658,626740996870,171.16,3.81,273.0939,68.46,54.77,35.94,6.85,3.42,1.71
Argentina,2022,ARG,South America,45092490,626491449938,161.74,3.59,258.1608,64.69,51.76,33.96,6.47,3.23,1.62
Argentina,2023,ARG,South America,45713496,668156777984,168.89,3.69,252.7648,67.55,54.04,35.47,6.76,3.38,1.69
Asia,1900,OWID_ASI,Asia,582627480,525427741372,148.75,0.26,283.1027,81.29,43.51,14.44,5.44,2.73,1.36
Asia,1901,OWID_ASI,Asia,668819614,522593746203,155.78,0.23,298.0901,84.94999999999999,45.6,15.25,5.7,2.85,1.4300000000000002
Asia,1902,OWID_ASI,Asia,729736571,503905974710,152.57,0.21,302.7747,83.14,44.67999999999999,14.99,5.579999999999999,2.79,1.4000000000000001
Asia,1903,OWID_ASI,Asia,780084212,503314718040,152.03,0.19,302.0575,82.61,44.56,15.11,5.569999999999999,2.79,1.3900000000000001
Asia,1904,OWID_ASI,Asia,801780441,524910706224,150.0,0.19,285.7629,81.5,43.97,14.93,5.5,2.75,1.37
Asia,1905,OWID_ASI,Asia,839757852,502843731470,148.84,0.18,295.9965,80.63,43.67,14.989999999999998,5.46,2.73,1.36
Asia,1906,OWID_ASI,Asia,878425478,500827763098,150.17000000000002,0.17,299.8436,81.44,44.03,15.05,5.5,2.75,1.3800000000000001
Asia,1907,OWID_ASI,Asia,906134302,511758657017,159.6,0.18,311.8658,86.44,46.84,16.09,5.859999999999999,2.92,1.4700000000000002
Asia,1908,OWID_ASI,Asia,940246689,527125636702,160.10999999999999,0.17,303.7416,86.41,47.03,16.37,5.88,2.94,1.4700000000000002
Asia,1909,OWID_ASI,Asia,960718202,523461178016,160.94,0.17,307.4536,86.88,47.27,16.44,5.91,2.95,1.4700000000000002
Asia,1910,OWID_ASI,Asia,1014743635,507405472865,154.92000000000002,0.15,305.318,83.42999999999999,45.55,15.98,5.69,2.85,1.42
Asia,1911,OWID_ASI,Asia,1026438117,499146439498,165.28,0.16,331.1253,88.88000000000001,48.62,17.15,6.08,3.04,1.51
Asia,1912,OWID_ASI,Asia,1067191236,517495509738,168.94,0.16,326.4569,90.33999999999999,49.800000000000004,17.92,6.22,3.12,1.55
Asia,1913,OWID_ASI,Asia,1083928877,528157695463,161.96,0.15,306.6508,86.33,47.78,17.4,5.9799999999999995,2.9899999999999998,1.48
Asia,1914,OWID_ASI,Asia,1110100358,499746166891,162.55,0.15,325.2651,86.57,47.980000000000004,17.51,6.0,2.99,1.5
Asia,1915,OWID_ASI,Asia,1155316813,514151710195,164.76999999999998,0.14,320.4696,87.56,48.660000000000004,17.89,6.08,3.04,1.52
Asia,1916,OWID_ASI,Asia,1162565960,521222366945,169.19,0.15,324.6023,89.68,50.01,18.560000000000002,6.25,3.13,1.57
Asia,1917,OWID_ASI,Asia,1189035294,526132717101,176.04000000000002,0.15,334.5924,92.88,52.12,19.64,6.52,3.25,1.6300000000000001
Asia,1918,OWID_ASI,Asia,1214331221,518776856614,176.45,0.15,340.127,92.8,52.29,19.92,6.53,3.27,1.6400000000000001
Asia,1919,OWID_ASI,Asia,1218949277,522957618981,174.32999999999998,0.14,333.354,91.55,51.7,19.79,6.460000000000001,3.23,1.62
Asia,1920,OWID_ASI,Asia,1247408608,506535224523,180.8,0.14,356.9347,94.71000000000001,53.66,20.689999999999998,6.71,3.3499999999999996,1.6800000000000002
Asia,1921,OWID_ASI,Asia,1274408773,505566046513,178.79,0.14,353.6432,93.27,53.129999999999995,20.759999999999998,6.64,3.32,1.6600000000000001
Asia,1922,OWID_ASI,Asia,1295534313,523648841137,185.64000000000001,0.14,354.5124,96.03999999999999,55.31,22.169999999999998,6.92,3.46,1.72
Asia,1923,OWID_ASI,Asia,1328593030,524077599292,190.48000000000002,0.14,363.4576,98.07,56.85,23.13,7.1,3.55,1.78
Asia,1924,OWID_ASI,Asia,1331904267,521242141154,192.79,0.14,369.8665,99.28999999999999,57.519999999999996,23.37,7.2,3.59,1.8
Asia,1925,OWID_ASI,Asia,1368058217,528099738567,198.64000000000001,0.15,376.1411,102.19,59.3,24.18,7.41,3.71,1.85
Asia,1926,OWID_ASI,Asia,1390340197,511747909408,196.51,0.14,383.9977,100.36,58.8,24.490000000000002,7.34,3.67,1.85
Asia,1927,OWID_ASI,Asia,1415074322,508313145856,212.32,0.15,417.6953,107.19999999999999,63.76,27.39,7.970000000000001,3.99,1.9900000000000002
Asia,1928,OWID_ASI,Asia,1436470454,516793098053,211.8,0.15,409.8352,107.06,63.57,27.240000000000002,7.95,3.9800000000000004,1.9900000000000002
Asia,1929,OWID_ASI,Asia,1467615092,517085207784,215.55,0.15,416.8559,107.62,64.96,28.759999999999998,8.12,4.07,2.0300000000000002
Asia,1930,OWID_ASI,Asia,1497471187,518825777102,229.5,0.15,442.345,114.69,69.14,30.540000000000003,8.65,4.33,2.1500000000000004
Asia,1931,OWID_ASI,Asia,1479059658,518263175641,226.31,0.15,436.67,112.39,68.32,30.65,8.540000000000001,4.27,2.14
Asia,1932,OWID_ASI,Asia,1530141101,525975684855,229.35000000000002,0.15,436.0468,113.41999999999999,69.33,31.439999999999998,8.67,4.34,2.17
Asia,1933,OWID_ASI,Asia,1530767802,503218878394,246.42000000000002,0.16,489.6875,121.97,74.47,33.7,9.3,4.65,2.33
Asia,1934,OWID_ASI,Asia,1534792272,507130762687,259.98,0.17,512.6488,127.21,78.84,36.69,9.86,4.92,2.4699999999999998
Asia,1935,OWID_ASI,Asia,1577446587,499118697207,271.24,0.17,543.4379,131.83,82.41,38.96,10.3,5.15,2.5700000000000003
Asia,1936,OWID_ASI,Asia,1591633236,512969449327,271.71,0.17,529.6807,131.07999999999998,82.74000000000001,39.78,10.34,5.17,2.59
Asia,1937,OWID_ASI,Asia,1628247304,498093245249,274.66999999999996,0.17,551.4429,131.57,83.82,40.94,10.469999999999999,5.24,2.62
Asia,1938,OWID_ASI,Asia,1644060234,513930907296,282.84000000000003,0.17,550.3464,136.05,86.22,41.730000000000004,10.780000000000001,5.380000000000001,2.6900000000000004
Asia,1939,OWID_ASI,Asia,1653069912,517731881819,311.04999999999995,0.19,600.7936,147.16000000000003,95.27,47.78,11.91,5.96,2.98
Asia,1940,OWID_ASI,Asia,1653356570,499862613164,315.51,0.19,631.1934,148.45,96.78999999999999,49.1,12.1,6.04,3.0300000000000002
Asia,1941,OWID_ASI,Asia,1719999405,517790843661,318.45,0.19,615.0167,150.06,97.63999999999999,49.379999999999995,12.2,6.11,3.04
Asia,1942,OWID_ASI,Asia,1704227515,502031084157,343.65,0.2,684.5194,159.42000000000002,105.85000000000001,55.23,13.23,6.619999999999999,3.3099999999999996
Asia,1943,OWID_ASI,Asia,1718963649,498278245501,356.18,0.21,714.8215,165.76,109.61,56.83,13.7,6.85,3.4299999999999997
Asia,1944,OWID_ASI,Asia,1721941567,517134540853,364.4,0.21,704.6522,168.35000000000002,112.35999999999999,59.099999999999994,14.04,7.02,3.51
Asia,1945,OWID_ASI,Asia,1779329251,504098115435,387.03,0.22,767.7672,177.74,119.55000000000001,63.59,14.940000000000001,7.470000000000001,3.74
Asia,1946,OWID_ASI,Asia,1797833694,494980346518,402.95,0.22,814.0727,183.88,124.68,67.11,15.579999999999998,7.79,3.9
Asia,1947,OWID_ASI,Asia,1777389692,512664450183,415.58000000000004,0.23,810.6277,189.18,128.68,69.58,16.09,8.040000000000001,4.0200000000000005
Asia,1948,OWID_ASI,Asia,1805489211,519966796158,412.34999999999997,0.23,793.0314,187.92000000000002,127.64,68.86,15.95,7.98,3.99
Asia,1949,OWID_ASI,Asia,1835189828,501099033094,432.84000000000003,0.24,863.7814,195.46,134.32,73.67999999999999,16.79,8.4,4.2
Asia,1950,OWID_ASI,Asia,2010969929,639052682505,653.0400000000001,0.32,1021.8876,304.75,202.07,102.39,25.05,12.530000000000001,6.25
Asia,1951,OWID_ASI,Asia,2026052931,674392392537,642.03,0.32,952.0125,300.16999999999996,198.73,100.04999999999998,24.61,12.299999999999999,6.16
Asia,1952,OWID_ASI,Asia,2103743684,764989711336,681.09,0.32,890.3257,316.93,211.23999999999998,107.21000000000001,26.14,13.07,6.53
Asia,1953,OWID_ASI,Asia,2097087504,900340430722,709.64,0.34,788.1908,328.55,220.63,112.75000000000001,27.27,13.629999999999999,6.82
Asia,1954,OWID_ASI,Asia,2157478861,1047487780912,735.79,0.34,702.433,338.84000000000003,229.45999999999998,117.98,28.310000000000002,14.14,7.08
